City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (past 3 hours),Snow inches (past 3 hours)
0,Esperance,AU,2020-05-10 00:29:01,-33.87,121.9,50.0,76,0,14.99,clear sky,0,0
1,Ushuaia,AR,2020-05-10 00:25:05,-54.8,-68.3,44.6,75,80,3.36,broken clouds,0,0
2,Chuy,UY,2020-05-10 00:29:01,-33.7,-53.46,55.71,74,54,7.49,broken clouds,0,0
3,Whitehorse,CA,2020-05-10 00:25:09,60.72,-135.05,69.8,21,40,16.11,scattered clouds,0,0
4,Sao Gabriel Da Cachoeira,BR,2020-05-10 00:29:01,-0.13,-67.09,75.2,95,100,1.48,light rain,0,0
5,Busselton,AU,2020-05-10 00:29:01,-33.65,115.33,46.99,75,0,2.77,clear sky,0,0
6,Port Elizabeth,ZA,2020-05-10 00:29:01,-33.92,25.57,57.2,100,0,5.82,clear sky,0,0
7,Kapaa,US,2020-05-10 00:28:17,22.08,-159.32,78.8,65,40,19.46,scattered clouds,0,0
8,Kindu,CD,2020-05-10 00:29:02,-2.95,25.95,70.65,98,100,1.66,light rain,0,0
9,Bairiki,KI,2020-05-10 00:29:02,1.33,172.98,87.8,70,20,8.05,few clouds,0,0
10,Ilulissat,GL,2020-05-10 00:29:02,69.22,-51.1,30.2,92,100,1.12,light snow,0,0
11,Mataura,NZ,2020-05-10 00:27:15,-46.19,168.86,56.79,65,59,3.74,broken clouds,0,0
12,Ayia Galini,GR,2020-05-10 00:29:03,35.1,24.68,61.0,70,0,1.99,clear sky,0,0
13,Jamestown,US,2020-05-10 00:29:03,42.1,-79.24,37.99,69,90,9.17,overcast clouds,0,0
14,Bluff,NZ,2020-05-10 00:29:03,-46.6,168.33,56.32,72,61,7.16,broken clouds,0,0
15,Punta Arenas,CL,2020-05-10 00:29:03,-53.15,-70.92,44.6,93,90,3.36,overcast clouds,0,0
16,Broome,US,2020-05-10 00:29:03,42.25,-75.83,35.01,80,90,10.29,light snow,0,0
17,Castro,BR,2020-05-10 00:29:03,-24.79,-50.01,51.82,88,0,3.4,clear sky,0,0
18,Trat,TH,2020-05-10 00:29:04,12.5,102.5,81.59,87,100,1.32,overcast clouds,0,0
19,East London,ZA,2020-05-10 00:29:04,-33.02,27.91,64.83,70,9,5.57,clear sky,0,0
20,Spartanburg,US,2020-05-10 00:24:28,34.95,-81.93,59.0,38,1,3.98,clear sky,0,0
21,Okhotsk,RU,2020-05-10 00:29:04,59.38,143.3,41.49,66,0,12.1,clear sky,0,0
22,Puerto Ayora,EC,2020-05-10 00:29:04,-0.74,-90.35,77.0,92,42,6.62,scattered clouds,0,0
23,Provideniya,RU,2020-05-10 00:29:04,64.38,-173.3,38.93,79,100,34.9,overcast clouds,0,0
24,Totskoye,RU,2020-05-10 00:29:04,52.52,52.76,55.6,80,88,14.99,overcast clouds,0,0
25,Cape Town,ZA,2020-05-10 00:28:48,-33.93,18.42,57.2,100,90,4.7,fog,0,0
26,Abu Samrah,SY,2020-05-10 00:29:05,35.3,37.18,59.77,74,0,20.38,clear sky,0,0
27,Boyolangu,ID,2020-05-10 00:29:05,-8.12,111.89,76.46,86,100,0.89,overcast clouds,0,0
28,Vaitape,PF,2020-05-10 00:29:05,-16.52,-151.75,82.0,79,16,16.71,few clouds,0,0
29,Tilichiki,RU,2020-05-10 00:29:05,60.47,166.1,32.13,100,100,8.86,overcast clouds,0,0
30,Airai,TL,2020-05-10 00:29:05,-8.93,125.41,64.94,90,98,4.18,overcast clouds,0,0
31,Klaksvik,FO,2020-05-10 00:29:05,62.23,-6.59,30.2,63,69,13.87,broken clouds,0,0
32,Panaba,MX,2020-05-10 00:29:06,21.28,-88.27,83.39,69,58,11.03,broken clouds,0,0
33,Luau,AO,2020-05-10 00:29:06,-10.71,22.22,65.25,75,42,4.27,scattered clouds,0,0
34,Shelburne,CA,2020-05-10 00:29:06,44.08,-80.2,37.4,47,90,12.75,overcast clouds,0,0
35,Roscrea,IE,2020-05-10 00:29:06,52.95,-7.8,52.0,94,66,4.0,broken clouds,0,0
36,Tura,IN,2020-05-10 00:29:06,25.52,90.22,73.92,46,0,3.42,clear sky,0,0
