City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Whitehorse,CA,69.8,60.72,-135.05,Westmark Hotel
1,Sao Gabriel Da Cachoeira,BR,75.2,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
2,Kapaa,US,78.8,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
3,Kindu,CD,70.65,-2.95,25.95,Hotel Karibu
4,Bairiki,KI,87.8,1.33,172.98,Tarawa Boutique Hotel
5,Ayia Galini,GR,61.0,35.1,24.68,Sunningdale Bungalows
6,Trat,TH,81.59,12.5,102.5,สวนหนิง-อัศ
7,East London,ZA,64.83,-33.02,27.91,Tu Casa
8,Puerto Ayora,EC,77.0,-0.74,-90.35,Finch Bay Galapagos Hotel
9,Boyolangu,ID,76.46,-8.12,111.89,Yos ega cv
10,Vaitape,PF,82.0,-16.52,-151.75,Hotel Maitai Polynesia
11,Airai,TL,64.94,-8.93,125.41,Juvinal Martin
12,Panaba,MX,83.39,21.28,-88.27,Hotel California
13,Luau,AO,65.25,-10.71,22.22,Kimbo Hotel
14,Tura,IN,73.92,25.52,90.22,Hotel RIKMAN Continental
15,Mahebourg,MU,73.4,-20.41,57.7,Shandrani Beachcomber Resort & Spa
16,Terrace,CA,77.0,54.52,-128.6,Northern Motor Inn
17,Gaoua,BF,83.41,10.3,-3.25,
18,Lorengau,PG,86.31,-2.02,147.27,Lorengau Harbourside Hotel
19,Kununurra,AU,86.0,-15.77,128.73,Hotel Kununurra
20,Dahuk,IQ,62.55,36.87,42.99,Parwar Hotel
21,Atuona,PF,80.78,-9.8,-139.03,Villa Enata
22,Inhambane,MZ,68.54,-23.86,35.38,MHL Turismo SA
23,Axim,GH,80.87,4.87,-2.24,AXIM BEACH RESORT AND SPA
24,Kingston,JM,84.2,18.0,-76.79,The Jamaica Pegasus Hotel
25,Primo Tapia,MX,73.0,32.22,-116.92,Puerto Nuevo Baja Hotel y Villas
26,Bilasipara,IN,75.09,26.23,90.23,Inspection Bunglow
27,Mamaku,NZ,64.0,-38.1,176.08,
28,Arraial Do Cabo,BR,71.73,-22.97,-42.03,Pousada Porto Praia
29,Rock Sound,BS,78.15,24.9,-76.2,Rock Sound Club
30,Aswan,EG,70.43,24.09,32.91,Nuba Nile
31,Cururupu,BR,75.27,-1.83,-44.87,Pousada Través'cia
32,Hilo,US,80.6,19.73,-155.09,Hilo Hawaiian Hotel
33,Portland,US,87.01,45.52,-122.68,Portland Marriott City Center
34,Vaini,TO,80.6,-21.2,-175.2,Keleti Beach Resort
35,Cidreira,BR,63.79,-30.18,-50.21,Novomar Pousada e Turismo Ltda
36,Rikitea,PF,75.85,-23.12,-134.97,Pension Maro'i
37,Burns Lake,CA,65.32,54.23,-125.75,Burns Lake Bed and Breakfast
38,Avarua,CK,82.4,-21.21,-159.78,Paradise Inn
39,Lompoc,US,69.01,34.64,-120.46,Holiday Inn Express Lompoc
40,Coahuayana,MX,84.2,18.73,-103.68,Hotel Los Arcos
41,Guerrero Negro,MX,74.55,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
42,Villa Carlos Paz,AR,68.0,-31.42,-64.5,Monte Carlo
43,Saint-Francois,FR,60.8,46.42,3.91,Manoir Du Bonheur
44,Hasaki,JP,70.0,35.73,140.83,Inubosaki Kanko Hotel
45,Anahuac,MX,80.6,27.23,-100.15,Rancho Guadalupe
46,Kaeo,NZ,66.99,-35.1,173.78,Bushido Lodge
47,Portobelo,PA,86.0,9.55,-79.65,Scuba Portobelo
48,Kosonsoy,UZ,62.6,41.26,71.55,"Гостиница ""Goldstar'"
49,Fortuna,US,63.0,40.6,-124.16,Super 8 by Wyndham Fortuna
50,Tomatlan,MX,89.11,19.93,-105.25,Norma franco
51,Praia Da Vitoria,PT,64.4,38.73,-27.07,Hotel Branco I
52,Tiarei,PF,87.8,-17.53,-149.33,Le Rocher de Tahiti
53,Rancho Palos Verdes,US,72.0,33.74,-118.39,Casitas at Terranea East
54,Fougeres,FR,60.8,48.35,-1.2,Best Western Hotel des Voyageurs
55,Hirara,JP,82.4,24.8,125.28,Hotel Atoll Emerald Miyakojima
